Name,Compare,Data,Explanatory,ItemCode
PermitRootLogin,!=,yes,Root 로그인 설정 확인,U-01
lcredit,==,-1,최소 소문자 요구,U-02
ucredit,==,-1,최소 대문자 요구,U-02
dcredit,==,-1,최소 숫자 요구,U-02
ocredit,==,-1,최소 특수문자 요구,U-02
minlen,>=8,최소 8자리 이상,U-02
Dery,>=,5,계정 잠금 임계값 설정,U-03
PASS_MAX_DAYS,>=,90,패스워드의 최대 사용기간,U-04
rootPathDir,==,0,디렉터리 권한 및 패스 설정,U-06
NouserGroup,==,0,파일 및 디렉터리 소유자 설정,U-07
/etc/passwd,>=,644,passwd 파일 소유자 및 권한 설정,U-08
/etc/shadow,>=,640,shadow 파일 소유자 및 권한 설정,U-09
/etc/hosts,>=,644,hosts 파일 소유자 및 권한 설정,U-10
/etc/xinetd.conf,>=,644,xinetd.conf 파일 소유자 및 권한 설정,U-11
/etc/rsyslog.conf,>=,644,syslog.conf 파일 소유자 및 권한 설정,U-12
/etc/services,>=,644,services 파일 소유자 및 권한 설정,U-13
/etc/hosts.equiv,>=,0,hosts.equiv 사용 금지,U-17
cron,!=,0,cron 파일 소유자 및 권한 설정,U-19
finger,!=,1,finger services 확인,U-20
anonymous_enable,!=,yes,Anonymous FTP 비활성화,U-21
rlogin,!=,1,rlogin services 확인,U-22
rsh,!=,1,rsh services 서비스 확인,U-22
rexec,!=,1,rexec services 서비스 확인,U-22
echo,!=,1,echo services 서비스 확인,U-23
discard,!=,1,discard services 서비스 확인,U-23
daytime,!=,1,daytime services 서비스 확인,U-23
chargen,!=,1,chargen services 서비스 확인,U-23
nfsd,!=,1,nfs services 서비스 확인,U-24
automountd,!=,1,automountd services 서비스 확인,U-26
rstatd,!=,1,rstatd services 서비스 확인,U-27
rpc.cmsd,!=,1,rpc.cmsd services 서비스 확인,U-27
ypserv,!=,1,ypserv services 서비스 확인,U-28
ypbind,!=,1,ypbind services 서비스 확인,U-28
ypxfrd,!=,1,ypxfrd services 서비스 확인,U-28
rpc.yppasswdd,!=,1,rpc.yppasswdd services 서비스 확인,U-28
rpc.ypupdated,!=,1,rpc.ypupdated services 서비스 확인,U-28
tftp,!=,1,tftp services 서비스 확인,U-29
talk,!=,1,talk services 서비스 확인,U-29
sendmail,!=,8.13.8,sendmail version 확인,U-30
sendmail,!=,8.9.0,sendmail version 확인,U-31
named,!=,8.9.0,named version 확인,U-33
